Username From;folcount;frcount;Tweet;Mention
RakyatMerdeka99;2055;207;b'Disaksikan BGS, Kiai PWNU Jatim Disuntik Vaksin AstraZeneca\n\n@BudiGSadikin #Menkes #VaksinCovid19 #SuntikVaksinCovid19 #VaksinAstraZeneca #DosisPertama #KiaiMuda #KiaiPWNUJatim #VaksinHalal #VaksinAman #Nasional #RakyatMerdeka #RMid https://t.co/9raJKecMQy';BudiGSadikin
RakyatMerdeka99;2055;207;b'Alhamdulillah, Indonesia Sudah Amankan Lebih Dari 360 Juta Dosis Vaksin Covid\n\n@KemenkesRI @BudiGSadikin #VaksinCovid19 #DosisVaksinCovid19 #VaksinasiIndonesia #PengentasanCoronaTanahAir #GovernmentAction #RakyatMerdeka #RMid https://t.co/CNI2z8eex1';KemenkesRI
RakyatMerdeka99;2055;207;b'Alhamdulillah, Indonesia Sudah Amankan Lebih Dari 360 Juta Dosis Vaksin Covid\n\n@KemenkesRI @BudiGSadikin #VaksinCovid19 #DosisVaksinCovid19 #VaksinasiIndonesia #PengentasanCoronaTanahAir #GovernmentAction #RakyatMerdeka #RMid https://t.co/CNI2z8eex1';BudiGSadikin
BPPKkemenkeu;26831;99;b'Pendaftaran GRATIS dan peserta terbatas dengan kuota 500 peserta. Warganed jangan sampai ketinggalan ya!\n\nRegistrasi Online: https://t.co/pQyAvQ6D6O\n\nIlustrasi: @marbunimam\n\n#BelajarTanpaBatas\n#SelaluBelajar\n#SWAPPremiumViaZoom\n#VaksinCovid19';marbunimam
jemsichtiarto;205;523;b'Si babeh, jadi semangat di #VaksinCovid19 di Drive Thru @HalodocID Kemayoran Jakarta. Gegara yg nyuntik #Vaksin Dokternya masih muda...\n\nSelengkapnya...\nhttps://t.co/RG7l5KEPNz';HalodocID
SatpolPP_Jakpus;172;41;b'23 03 21 l Melaksankan Pengamanan Lokasi Kegiatan Vaksinasi Kepada lansia sekecamatan tanah abang di SD N BENDUNGAN HILIR 01 PAGI Jl. Danau Toba Kel. Benhil Kec. Tanah Abang Jakarta Pusat\n#vaksincovid19\n@SatpolPP_DKI\n @kominfotikjp https://t.co/KaJwxBst9Z';SatpolPP_DKI
SatpolPP_Jakpus;172;41;b'23 03 21 l Melaksankan Pengamanan Lokasi Kegiatan Vaksinasi Kepada lansia sekecamatan tanah abang di SD N BENDUNGAN HILIR 01 PAGI Jl. Danau Toba Kel. Benhil Kec. Tanah Abang Jakarta Pusat\n#vaksincovid19\n@SatpolPP_DKI\n @kominfotikjp https://t.co/KaJwxBst9Z';kominfotikjp
SatpolPP_Jakpus;172;41;b'23 03 21 l Membatu Pengamanan Kegiatan Vaksinasi covid 19 lansia di kelurahan petojo selatan kecamatan Gambir Kota Administarsi Jakarta Pusat\n#vaksincovid19\n@SatpolPP_DKI \n@kominfotikjp https://t.co/tbJAfaErB3';SatpolPP_DKI
SatpolPP_Jakpus;172;41;b'23 03 21 l Membatu Pengamanan Kegiatan Vaksinasi covid 19 lansia di kelurahan petojo selatan kecamatan Gambir Kota Administarsi Jakarta Pusat\n#vaksincovid19\n@SatpolPP_DKI \n@kominfotikjp https://t.co/tbJAfaErB3';kominfotikjp
SinarOnline;688745;566;b'30,861 daripadanya sudah lengkapkan dos kedua - @DrAdhamBaba  \n#vaksincovid19 #COVID19\n\nhttps://t.co/yjVBjijGNl';DrAdhamBaba
mnctrijayafmsmg;3079;321;b'Vaksin Covid 19 GRATIS\nVaksin untuk melawan virus covid 19 sudah hadir , Pemerintahan pun menggratiskan biaya vaksinasi untuk seluruh masyarakat Indonesia \n#VaksinCovid19 dan 3 M  kombinasi akurat untuk mengakhir pandemi covid 19\n\nInformasi ini di sampaikan oleh @dinkesjateng https://t.co/UOMpkENIpT';dinkesjateng
PenPerak;754;174;b'Tiada sebarang had bilangan pendaftaran bagi tanggungan.\n\nDaftar sekarang: https://t.co/BDApmLVHJu\n\nSumber : @JKJAVMY\n\n#LindungDiriLindungSemua\n#VaksinCOVID19\n#KomunikasiKita\n#JabatanPenerangan \n#PeneranganPerak https://t.co/t9s1CXPbpz';JKJAVMY
AMUBAIDAHS;2369;751;b'Wholly support @DGHisham plea for #Rakyat to save ourselves from #COVID19. The key is in instituting a #SafetyCulture or #BudayaSelamat in our society starting w following #SOP.\n\n#VaksinCovid19 akan membantu ttp tabiat &amp kelakuan betul merupakan benteng utama kita. #KitaJagaKita https://t.co/uMz9Kml8G1';DGHisham
Hari01892872;38;88;b'@Kemenag_RI https://t.co/Fn90ZWKgzf\n\nDi Europe lagi banyak demon anti lockdown covid..\n\n#COVID19Malaysia #coronavirus #Corona #Vaksin #VaksinasiNasional #VaksinCovid19 \n#COVID19Vaccine';Kemenag_RI
edowibi;177;148;b'Jadi, #VaksinCovid19 ini untuk WNI atau WNI berdasarkan KTP Domisili yah? Mau vaksin aja beda daerah tinggal sama KTP ribet bener.. Buat apaan ada aplikasi @pedulilindungi..';pedulilindungi
kominfotikjp;2207;155;b'Selain itu, Dhany juga mengigatkan agar seluruh Aparatur Sipil Negara (ASN) dan Penyedia Jasa Lainnya Perorangan (PJLP) yang telah menjalani vaksinasi tahap 1, segera melakukan vaksinasi tahap 2.\n@ArizaPatria @DKIJakarta @walikotajakpus \n#infojakpus #VaksinCovid19 https://t.co/1ixq2odtF4';ArizaPatria
